""	"word"	"tag"	"age"	"mlu"	"speaker"	"corpus"	"child"	"sent"	"lastsent"
"0"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"0"	"-1"
"1"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"25"	"0"
"2"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"26"	"25"
"3"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"27"	"26"
"4"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"28"	"27"
"5"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"39"	"28"
"6"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"48"	"39"
"7"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"53"	"48"
"8"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"68"	"53"
"9"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"73"	"68"
"10"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"82"	"73"
"11"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"89"	"82"
"12"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"105"	"89"
"13"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"126"	"105"
"14"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"127"	"126"
"15"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"133"	"127"
"16"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"141"	"133"
"17"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"181"	"141"
"18"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"189"	"181"
"19"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"192"	"189"
"20"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"217"	"192"
"21"	"a"	"det"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"262"	"217"
"22"	"again"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"52"	"-1"
"23"	"again"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"227"	"52"
"24"	"all"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"9"	"-1"
"25"	"alright"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"188"	"-1"
"26"	"alright"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"200"	"188"
"27"	"always"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"38"	"-1"
"28"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"5"	"-1"
"29"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"41"	"5"
"30"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"46"	"41"
"31"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"56"	"46"
"32"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"179"	"56"
"33"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"228"	"179"
"34"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"245"	"228"
"35"	"and"	"coord"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"259"	"245"
"36"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"61"	"-1"
"37"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"74"	"61"
"38"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"77"	"74"
"39"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"78"	"77"
"40"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"88"	"78"
"41"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"102"	"88"
"42"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"107"	"102"
"43"	"apart"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"127"	"107"
"44"	"at"	"prep"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"79"	"-1"
"45"	"at"	"prep"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"185"	"79"
"46"	"at"	"prep"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"245"	"185"
"47"	"away"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"171"	"-1"
"48"	"away"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"204"	"171"
"49"	"baby"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"120"	"-1"
"50"	"back"	""	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"205"	"-1"
"51"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"5"	"-1"
"52"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"64"	"5"
"53"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"173"	"64"
"54"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"176"	"173"
