""	"word"	"tag"	"age"	"speaker"	"corpus"	"child"	"difference"
"0"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"7"
"1"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"2"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"3"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"24"
"4"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"3"
"5"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"7"
"6"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"7"
"7"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"12"
"8"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"6"
"9"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"10"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"0"
"11"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"14"
"12"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"4"
"13"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"43"
"14"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"15"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"19"
"16"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"6"
"17"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"2"
"18"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"15"
"19"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"25"
"20"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"7"
"21"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"9"
"22"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"15"
"23"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"24"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"24"
"25"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"9"
"26"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"3"
"27"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"4"
"28"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"0"
"29"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"3"
"30"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"5"
"31"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"6"
"32"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"5"
"33"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"9"
"34"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"35"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"36"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"2"
"37"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"38"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"3"
"39"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"35"
"40"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"26"
"41"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"1"
"42"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"8"
"43"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"0"
"44"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"16"
"45"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"28"
"46"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"7"
"47"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"19"
"48"	"a"	"det"	"33"	"MOT"	"Higginson"	"april04"	"19"
