""	"word"	"tag"	"age"	"speaker"	"corpus"	"child"	"difference"
"0"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"25"
"1"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"2"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"3"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"4"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"11"
"5"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"9"
"6"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"7"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"15"
"8"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"9"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"9"
"10"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"7"
"11"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"16"
"12"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"21"
"13"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"14"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"6"
"15"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"8"
"16"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"40"
"17"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"8"
"18"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"19"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"25"
"20"	"a"	"det"	"12.0"	"MOT"	"Rollins"	"jw12a"	"45"
"21"	"again"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"175"
"22"	"alright"	"adj"	"12.0"	"MOT"	"Rollins"	"jw12a"	"12"
"23"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"36"
"24"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"25"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"10"
"26"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"123"
"27"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"49"
"28"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"17"
"29"	"and"	"coord"	"12.0"	"MOT"	"Rollins"	"jw12a"	"14"
"30"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"13"
"31"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"32"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"33"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"10"
"34"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"14"
"35"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"36"	"apart"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"20"
"37"	"at"	"prep"	"12.0"	"MOT"	"Rollins"	"jw12a"	"106"
"38"	"at"	"prep"	"12.0"	"MOT"	"Rollins"	"jw12a"	"60"
"39"	"away"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"33"
"40"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"59"
"41"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"109"
"42"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"43"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"44"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"45"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"46"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"47"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"18"
"48"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"49"	"back"	"adv"	"12.0"	"MOT"	"Rollins"	"jw12a"	"37"
"50"	"ball"	"n"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"51"	"ball"	"n"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"52"	"ball"	"n"	"12.0"	"MOT"	"Rollins"	"jw12a"	"27"
"53"	"ball"	"n"	"12.0"	"MOT"	"Rollins"	"jw12a"	"7"
"54"	"ball"	"n"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"55"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"40"
"56"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"73"
"57"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"58"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"59"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"19"
"60"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"61"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"12"
"62"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"14"
"63"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"64"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"65"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"15"
"66"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"67"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"68"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"69"	"be"	"aux"	"12.0"	"MOT"	"Rollins"	"jw12a"	"16"
"70"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"71"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"72"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"13"
"73"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"74"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"75"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"76"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"77"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"78"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"79"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"80"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"81"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"82"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"83"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"0"
"84"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"8"
"85"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"86"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"87"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"88"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"89"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"90"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"0"
"91"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"92"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"93"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"94"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"95"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"96"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"97"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"98"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"99"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"100"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"101"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"8"
"102"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"9"
"103"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"104"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"105"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"106"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"107"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"108"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"109"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"110"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"13"
"111"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"112"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"6"
"113"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"6"
"114"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"7"
"115"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"116"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"3"
"117"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"8"
"118"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"119"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"120"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"0"
"121"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"122"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"123"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"5"
"124"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"15"
"125"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"4"
"126"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"0"
"127"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"128"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"129"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"130"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"131"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"2"
"132"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"133"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"1"
"134"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"7"
"135"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"6"
"136"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"13"
"137"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"14"
"138"	"be"	"cop"	"12.0"	"MOT"	"Rollins"	"jw12a"	"12"
